user_id,order_id,product_id,category_id,product_name
1107,8f705484-1f28-4ea3-bfd4-d359bd7a5758,8f3205e8-8848-4277-b850-ce0565effd3c,1001,iPhone 7 / 8 Plus Soft Solid Silicone Case (Full Bottom Open) - STEEL BLUE
1107,8f705484-1f28-4ea3-bfd4-d359bd7a5758,8f320414-97ec-49cd-afb1-dd66fe140ea1,1001,iPhone 7 Plus/8 Plus Soft Solid Silicone Case (Full Bottom Open) - PEARL RIVER
1107,8f705484-1f28-4ea3-bfd4-d359bd7a5758,8f320fc1-bd74-4b4f-8c50-3cda764f8bdb,1001,iPhone 7 Plus/8 Plus Soft Solid Silicone Case (Full Bottom Open) - YELLOW
1107,8f705484-1f28-4ea3-bfd4-d359bd7a5758,8f320f36-1729-4f35-9eb2-0d77bf764261,1001,iPhone 7 Plus/8 Plus Soft Solid Silicone Case (Full Bottom Open) - BLACK
1107,8f705484-1f28-4ea3-bfd4-d359bd7a5758,8eeb6ab3-36ac-4671-8e89-7ae34892384b,1002,iPhone 6/7/8 Leather Wallet Case-RED
1107,8f705484-1f28-4ea3-bfd4-d359bd7a5758,8eeb6ab2-f52d-42c1-b8d7-30422a8cd477,1002,iPhone 6/7/8 Leather Wallet Case-BLUE
1107,8f705484-1f28-4ea3-bfd4-d359bd7a5758,8eeb6113-1340-4356-90a8-992ac3f203fe,1002,iPhone 6/7/8 Leather Wallet Case-BLACK
1107,8f705484-1f28-4ea3-bfd4-d359bd7a5758,8f2e35c4-963a-4fbc-bf31-be78b32ee7c2,1002,iPhone 7/8 MOON POEM Wallet Case - BLACK
1107,8f705484-1f28-4ea3-bfd4-d359bd7a5758,8f2e28fc-66bf-4712-b19c-43b05bad6355,1002,iPhone 7/8 MOON POEM Wallet Case - HOT PINK
1107,8f705484-1f28-4ea3-bfd4-d359bd7a5758,8f2e338a-b73b-496d-a679-99d913ecac51,1002,iPhone 7/8 MOON POEM Wallet Case - DARK BLUE
1107,8f705484-1f28-4ea3-bfd4-d359bd7a5758,8f2e2a8e-ea55-4e46-a9f6-ac67507a76e0,1002,iPhone 7/8 MOON POEM Wallet Case - LIGHT PURPLE
1107,8f705484-1f28-4ea3-bfd4-d359bd7a5758,8f2e2f78-ab8c-4dea-b029-5f49bfa4c673,1002,iPhone 7/8 MOON POEM Wallet Case - SILVER
1107,8f705484-1f28-4ea3-bfd4-d359bd7a5758,8f03d7ad-20bd-4293-ab5e-bfb9a91ba34e,1003,iPhone 6/6S Plus Encased Duraclip Series Case With Belt Clip Holster-Black
1107,8f705484-1f28-4ea3-bfd4-d359bd7a5758,8f2e2d9a-f0a8-4835-a133-2d2d53878472,1002,iPhone 7/8 MOON POEM Wallet Case - SAND PINK
1107,8f705484-1f28-4ea3-bfd4-d359bd7a5758,8f641bf0-2ac9-4218-903b-6e94ef336f25,8f26534f-c004-490f-9632-f38e3e142043,AirPods Case (PU Leather Design Protective Shockproof Cover) (RED)
,8f70e651-0eb7-45e1-a5b0-e6d8a620a4dc,8f4c8b5a-69c6-4fbe-ab0a-7d928637d86f,8f25bc25-6a75-4de1-8312-14cf24eec3d7,Shockproof Case for iPad 7 New Kickstand Kids Silicone Hard Full Body Protective Case Cover-BLACK/BLACK
,8f70e651-0eb7-45e1-a5b0-e6d8a620a4dc,8f485f75-0e01-4c8b-86ac-81d42484c794,8f561adb-d307-47f8-afad-5ec6ca222ed1,Samsung Galaxy A10S TPU Solid Clear Case
,8f70e651-0eb7-45e1-a5b0-e6d8a620a4dc,8f6eb4fc-7cf2-42f5-949c-35dadeaaf849,8f561adb-d307-47f8-afad-5ec6ca222ed1,Galaxy A 10s Design Wallet with Extra Pocket Case - BROWN
,8f70e651-0eb7-45e1-a5b0-e6d8a620a4dc,8f2e10b6-b97f-47f2-8f0a-c34293dbe9b0,1001,iPhone 7P/8P MOON POEM Wallet Case - PINK
,8f70e651-0eb7-45e1-a5b0-e6d8a620a4dc,8f2a01bd-786c-4e7d-b7bb-73f056caf872,1001,iPhone 8 Plus/7 Plus MOON POEM Wallet Case -SAND PINK
,8f70e651-0eb7-45e1-a5b0-e6d8a620a4dc,8f1e1168-f878-4fd0-8000-c3c447570af2,1002,iPhone 7/8 Magnetic Holster Hybrid Technology Military Grade Case - BLACK
,8f70e651-0eb7-45e1-a5b0-e6d8a620a4dc,8f25e384-7a4f-400d-91b8-39ffa3ca5883,1000,iPhone X/XS Leather Wallet Fashion Case w/ 2 Card Slot - BLACK
,8f70e651-0eb7-45e1-a5b0-e6d8a620a4dc,8f383096-9640-4bfe-a7e5-882d91459ca7,1001,iPhone 7 Plus/8 Plus Leather Case with ID Credit Card Slot Holder Money Pocket - RED
,8f70e651-0eb7-45e1-a5b0-e6d8a620a4dc,8f1e115b-dcae-4e74-9b8c-e20019b21522,1001,iPhone 7P/8P Glitter Protectable DREAM Case - GOLD
,8f70e651-0eb7-45e1-a5b0-e6d8a620a4dc,8f1e115c-1941-4054-bfb5-0b2fba8bc938,1001,iPhone 7P/8P Glitter Protectable DREAM Case - SILVER
,8f70e651-0eb7-45e1-a5b0-e6d8a620a4dc,8eeb6ac3-2b59-49c6-bcf9-47d1f5e59c54,1002,iPhone 6/7/8  Dual Layer Protection Case -Gray
,8f70e651-0eb7-45e1-a5b0-e6d8a620a4dc,8eeb6ab9-e4d7-4764-9a1c-c851f2efa7ef,1002,iPhone 7/8 Clear HD Case
,8f70e651-0eb7-45e1-a5b0-e6d8a620a4dc,8f2e2a8e-ea55-4e46-a9f6-ac67507a76e0,1002,iPhone 7/8 MOON POEM Wallet Case - LIGHT PURPLE
,8f70e651-0eb7-45e1-a5b0-e6d8a620a4dc,8eeb6abe-9388-4906-b656-fd9a286e042a,1002,iPhone 7/8  Hybrid Bumper Shockproof Case Cover-Red
,8f70e651-0eb7-45e1-a5b0-e6d8a620a4dc,8eeb6abe-c5a8-46e5-b275-b29c3c28cf36,1002,iPhone 7/8  Hybrid Bumper Shockproof Case Cover-Black
,8f70e651-0eb7-45e1-a5b0-e6d8a620a4dc,8f2e2d9a-f0a8-4835-a133-2d2d53878472,1002,iPhone 7/8 MOON POEM Wallet Case - SAND PINK
,8f70e651-0eb7-45e1-a5b0-e6d8a620a4dc,8f3623a7-54b1-4b21-a71c-aff5b47e2e94,1002,iPhone 6/6S/7/8 Three Layer Heavy Duty Shockproof Anti-Scratch Protective Case - NAVY BLUE
,8f70e651-0eb7-45e1-a5b0-e6d8a620a4dc,8ed56fcc-45ff-4028-b8bf-7e5be277586f,8f26534f-c004-490f-9632-f38e3e142043,AirPods Case (Rose Red)
1107,8f723a08-14e3-4534-b764-54ce7ca31199,8eeb6ac0-9636-4659-9f72-21705a9aa2eb,1002,iPhone 7/8 Sport Case Black & Red Line
